step 0: classification- train loss 0.0552, classification-val loss 0.0531
iter 409: loss 0.0004, time 3299.15ms, mfu 0.43%
iter 410: loss 0.0003, time 3313.01ms, mfu 0.43%
iter 411: loss 0.0023, time 3295.81ms, mfu 0.43%
iter 412: loss 0.0007, time 3296.47ms, mfu 0.43%
iter 413: loss 0.0006, time 3348.10ms, mfu 0.43%
iter 414: loss 0.0007, time 3310.52ms, mfu 0.43%
iter 415: loss 0.0006, time 3303.06ms, mfu 0.43%
iter 416: loss 0.0012, time 3298.83ms, mfu 0.43%
iter 417: loss 0.0004, time 3308.80ms, mfu 0.43%
iter 418: loss 0.0017, time 3300.26ms, mfu 0.43%
iter 419: loss 0.0007, time 3344.98ms, mfu 0.43%
iter 420: loss 0.0037, time 3305.26ms, mfu 0.43%
iter 421: loss 0.0011, time 3295.26ms, mfu 0.43%
iter 422: loss 0.0005, time 3306.36ms, mfu 0.43%
iter 423: loss 0.0007, time 3342.05ms, mfu 0.43%
iter 424: loss 0.0007, time 3403.22ms, mfu 0.43%
iter 425: loss 0.0006, time 3343.08ms, mfu 0.43%
iter 426: loss 0.0004, time 3364.24ms, mfu 0.43%
iter 427: loss 0.0032, time 3317.08ms, mfu 0.43%
iter 428: loss 0.0036, time 3290.49ms, mfu 0.43%
iter 429: loss 0.0009, time 3294.86ms, mfu 0.43%
iter 430: loss 0.0004, time 3333.68ms, mfu 0.43%
iter 431: loss 0.0003, time 3283.20ms, mfu 0.43%
iter 432: loss 0.0004, time 3346.75ms, mfu 0.43%
iter 433: loss 0.0002, time 3314.40ms, mfu 0.43%
iter 434: loss 0.0038, time 3298.82ms, mfu 0.43%
iter 435: loss 0.0064, time 3342.57ms, mfu 0.43%
iter 436: loss 0.0021, time 3314.33ms, mfu 0.43%
iter 437: loss 0.0002, time 3315.33ms, mfu 0.43%
iter 438: loss 0.0043, time 3298.60ms, mfu 0.43%
iter 439: loss 0.0007, time 3326.38ms, mfu 0.43%
iter 440: loss 0.0002, time 3326.64ms, mfu 0.43%
iter 441: loss 0.0013, time 3330.47ms, mfu 0.43%
iter 442: loss 0.0002, time 3313.69ms, mfu 0.43%
iter 443: loss 0.0003, time 3317.58ms, mfu 0.43%
iter 444: loss 0.0002, time 3314.34ms, mfu 0.43%
iter 445: loss 0.0003, time 3310.92ms, mfu 0.43%
